Range: 0 seconds to 4 minutes 16.1 seconds.

Call Paths:

[Process]/{Thread}/Code,# Total: Samples,% Total: Samples,# Self: Samples,% Self: Samples,# Process: Samples,% Process: Samples,Stack Depth,Location
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  GameThread #32585","7,339",14.43%,,,"7,339",14.46%,,-
"    <unknown code in libc.so>","7,132",14.02%,,,"7,132",14.05%,0,libc.so
"      <unknown code in libUnreal.so>","7,132",14.02%,"4,605",9.07%,"7,132",14.05%,0,libUnreal.so
"        <unknown code in libc.so>","1,685",3.31%,"1,526",3.01%,"1,685",3.32%,0,libc.so
"          <unknown code in libnetd_client.so>",91,0.18%,5,< 0.01%,91,0.18%,0,libnetd_client.so
"            <unknown code in libc.so>",85,0.17%,85,0.17%,85,0.17%,0,libc.so
"            <unknown code in libdl.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libdl.so
"          <unknown code in [vdso]>",68,0.13%,68,0.13%,68,0.13%,0,[vdso]
"        <unknown code in libz.so>",398,0.78%,394,0.78%,398,0.78%,0,libz.so
"          <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"          <unknown code in libUnreal.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libUnreal.so
"        <unknown code in libGPUCounters.so>",326,0.64%,127,0.25%,326,0.64%,0,libGPUCounters.so
"          <unknown code in libc.so>",199,0.39%,196,0.39%,199,0.39%,0,libc.so
"            <unknown code in [vdso]>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,[vdso]
"        <unknown code in libart.so>",54,0.11%,45,0.09%,54,0.11%,0,libart.so
"          <unknown code in libc++.so>",9,0.02%,6,0.01%,9,0.02%,0,libc++.so
"            <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"        <unknown code in libandroid.so>",24,0.05%,8,0.02%,24,0.05%,0,libandroid.so
"          <unknown code in libcutils.so>",16,0.03%,10,0.02%,16,0.03%,0,libcutils.so
"            <unknown code in libc.so>",6,0.01%,6,0.01%,6,0.01%,0,libc.so
"        <unknown code in libm.so>",23,0.05%,23,0.05%,23,0.05%,0,libm.so
"        <unknown code in libheapprofd_standalone_client.so>",17,0.03%,17,0.03%,17,0.03%,0,libheapprofd_standalone_client.so
"    <unknown code in libart.so>",147,0.29%,104,0.20%,147,0.29%,0,libart.so
"      <unknown code in libUnreal.so>",22,0.04%,4,< 0.01%,22,0.04%,0,libUnreal.so
"        <unknown code in libart.so>",16,0.03%,12,0.02%,16,0.03%,0,libart.so
"          <unknown code in libc++.so>",4,< 0.01%,1,< 0.01%,4,< 0.01%,0,libc++.so
"            <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"        <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"      <unknown code in libartpalette-system.so>",7,0.01%,3,< 0.01%,7,0.01%,0,libartpalette-system.so
"        <unknown code in libcutils.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libcutils.so
"      <unknown code in libandroid_runtime.so>",6,0.01%,2,< 0.01%,6,0.01%,0,libandroid_runtime.so
"        <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
